5,Island and rating,U.S. total
7,Oahu,
9,Above average,17.021864250509985
10,Below average,5.409300152623251
11,Poor,3.0010257244106864
13,Maui,
15,Above average,9.136138930712113
16,Below average,3.039964039536433
17,Poor,1.7426257103083567
19,Molokai,
20,Excellent,84.47235264716956
21,Above average,10.185999188984434
22,Below average,5.341648163846098
25,Lanai,
26,Excellent,86.01980174819064
27,Above average,8.49379005204736
28,Below average,3.3492338818552145
29,Poor,2.1371743179069433
31,Hawaiâ€˜i (Hilo/ Kona/ Volcano),
32,Excellent,85.19699682305794
33,Above average,10.677396223972856
34,Below average,3.289595688596678
35,Poor,0.8360112643700555
37,Kauai,
38,Excellent,83.79307282358229
39,Above average,10.263685835553881
40,Below average,4.1550418602578985
41,Poor,1.788199480601244
